Order date,product_left,wareh_name,wareh_addr,wareh_state,prod_name,prod_cate,prod_price,prod_website,prod_short_description,prod_depth,prod_height,prod_width,prod_size,prod_quantity,store_id,sup_name,sup_email,sup_tel,time_id,time_date,time_month,time_quater,time_year,wareh_id,prod_id,sup_id,total_qty,total_qty_sold,prod_cost
9/5/2023 AD,8,East Within Storage,"1604 Molly Meadows Suite 138, Concord, New Hampshire 03301",New Hampshire (NH),HÅVERUD,Bar furniture,189.99,https://www.ikea.com/us/en/p/haverud-table-with-storage-ladder-black-40504254/,Table with storage ladder,44,63,44,Medium,365,S0047,Greene-Sanders,timothymoore@howe-thomas.com,(907) 159-5651,TM0001,9,5,Q2,2023,WH1851,PD0047,SPE0014,31,23,184.99
31/7/2022 AD,26,South Have Storage,"728 Patrick Corners, Saint Paul, Minnesota 55102",Minnesota (MN),LANGUR,Nursery furniture,345,https://www.ikea.com/us/en/p/langur-junior-highchair-white-s09252593/,Junior/highchair,61,87,56,Small,247,S1841,"Lynn, Yu and Alvarez",michaelryan@long.com,(803) 133-8553,TM0002,31,7,Q3,2022,WH1383,PD1841,SPE0091,42,16,335
5/3/2021 AD,12,East Night Depot,"149 Smith Fall, Richmond, Virginia 23219",Virginia (VA),MELLTORP / MARIUS,Chairs,149,https://www.ikea.com/us/en/p/melltorp-marius-table-and-2-stools-white-black-s99011764/,Table and 2 stools,,72,75,Small,301,S1217,Nguyen-Arias,omathis@hernandez.org,(505) 132-4607,TM0003,5,3,Q1,2021,WH1585,PD1217,SPE0103,22,10,142
23/7/2021 AD,12,Central Conference Distribution Center,"42073 Sosa Avenue Apt. 065, Concord, New Hampshire 03301",New Hampshire (NH),BILLY / OXBERG,Cabinets & cupboards,575,https://www.ikea.com/us/en/p/billy-oxberg-bookcase-white-s69017828/,Bookcase,30,202,80,Big,275,S0761,"Davis, Johnson and Hopkins",brian27@phillips-davis.com,(808) 198-8308,TM0004,23,7,Q3,2021,WH1560,PD0761,SPE0118,42,30,571
5/2/2019 AD,22,East Authority Distribution Center,"201 Barnes Centers Apt. 564, Madison, Wisconsin 53703",Wisconsin (WI),ÄPPLARÖ,Outdoor furniture,384,https://www.ikea.com/us/en/p/aepplaroe-wall-panel-gate-leg-table-outdoor-brown-stained-s49054015/,Wall panel+gate-leg table,62,158,80,Big,426,S1884,Crawford-Sanchez,lewisdavid@russell-green.com,(225) 193-7769,TM0005,5,2,Q1,2019,WH0838,PD1884,SPE0005,37,15,375
25/3/2021 AD,-9,West Exactly Storage,"1968 John Lodge Apt. 441, Dover, Delaware 19901",Delaware (DE),VEVELSTAD,Beds,279,https://www.ikea.com/us/en/p/vevelstad-bed-frame-with-3-headboards-white-tolkning-rattan-s89441830/,Bed frame with 3 headboards,51,120,140,Big,217,S0070,"Evans, Howe and Davis",ghogan@mcgrath.biz,(860) 176-7336,TM0006,25,3,Q1,2021,WH0992,PD0070,SPE0137,21,30,271
22/8/2021 AD,-2,North Source Distribution Center,"6955 Coleman Park Suite 367, Oklahoma City, Oklahoma 73102",Oklahoma (OK),TERJE,Chairs,79,https://www.ikea.com/us/en/p/terje-folding-chair-white-80222441/,Folding chair,51,77,44,Medium,85,S1173,"Gray, Vaughn and Reeves",hcox@smith-christensen.net,(850) 130-2960,TM0007,22,8,Q3,2021,WH1094,PD1173,SPE0130,13,15,78
12/6/2020 AD,3,North Nice Distribution Center,"74860 Diana Springs, Saint Paul, Minnesota 55102",Minnesota (MN),EKET,Bookcases & shelving units,70,https://www.ikea.com/us/en/p/eket-cabinet-w-door-and-1-shelf-white-90333938/,Cabinet w door and 1 shelf,35,70,35,Small,465,S0586,"Navarro, Serrano and Brown",mollygreen@duncan.biz,(404) 143-1955,TM0008,12,6,Q2,2020,WH0273,PD0586,SPE0113,19,16,69
10/2/2021 AD,-13,South Stuff Depot,"1594 Gina Forks, Sacramento, California 95814",California (CA),TROFAST,Children's furniture,10,https://www.ikea.com/us/en/p/trofast-storage-box-yellow-50308002/,Storage box,,10,30,Medium,499,S1726,"Evans, Howe and Davis",ghogan@mcgrath.biz,(860) 176-7336,TM0009,10,2,Q1,2021,WH1434,PD1726,SPE0137,13,26,9
20/5/2020 AD,36,North Yourself Depot,"53828 Miles Expressway Apt. 090, Carson City, Nevada 89701",Nevada (NV),BOAXEL / LAGKAPTEN,Bookcases & shelving units,159,https://www.ikea.com/us/en/p/boaxel-lagkapten-shelving-unit-with-table-top-white-s89440562/,Shelving unit with table top,24,79,49,Medium,421,S0491,"Jones, Spencer and Baxter",sarah50@mccoy.com,(907) 147-1605,TM0010,20,5,Q2,2020,WH0703,PD0491,SPE0131,41,5,149
16/5/2020 AD,45,Central Nor Warehouse,"95250 Stewart Union, Helena, Montana 59601",Montana (MT),ELVARLI,Bookcases & shelving units,20,https://www.ikea.com/us/en/p/elvarli-shoe-shelf-white-50317290/,Shoe shelf,14,1,31,Big,421,S0449,Clements PLC,chris00@jones-adams.info,(860) 124-3673,TM0011,16,5,Q2,2020,WH1102,PD0449,SPE0029,48,3,17
15/11/2022 AD,4,North Discuss Storage,"944 Guerra Via Suite 103, Little Rock, Arkansas 72201",Arkansas (AR),MALM,Beds,349,https://www.ikea.com/us/en/p/malm-bed-frame-black-brown-luroey-s69009475/,Bed frame,51,194,156,Small,7,S0065,Miller-Parrish,clifford01@ali.com,(302) 142-4595,TM0012,15,11,Q4,2022,WH0878,PD0065,SPE0133,13,9,344
12/7/2023 AD,3,Central Happy Storage,"942 Garcia Drive, Harrisburg, Pennsylvania 17101",Pennsylvania (PA),PLATSA,Chests of drawers & drawer units,356,https://www.ikea.com/us/en/p/platsa-chest-of-2-drawers-white-fonnes-white-s09277211/,Chest of 2 drawers,57,53,60,Small,74,S1591,Riley and Sons,romantabitha@campbell-whitaker.com,(614) 182-9340,TM0013,12,7,Q3,2023,WH1606,PD1591,SPE0032,12,9,348
10/9/2022 AD,0,Central Spend Warehouse,"21528 Lewis Mission Apt. 299, Sacramento, California 95814",California (CA),BESTÅ,Cabinets & cupboards,65,https://www.ikea.com/us/en/p/besta-frame-black-brown-50245953/,Frame,15,25,47,Medium,351,S1017,Washington-Chandler,vaughnsusan@morales-edwards.biz,(502) 191-5765,TM0014,10,9,Q3,2022,WH0601,PD1017,SPE0096,12,12,58
15/2/2022 AD,18,North Suffer Warehouse,"23126 Graham Mills Suite 413, Tallahassee, Florida 32301",Florida (FL),TORSBY / VOLFGANG,Chairs,2395,https://www.ikea.com/us/en/p/torsby-volfgang-table-and-4-chairs-high-gloss-white-bomstad-black-s99251853/,Table and 4 chairs,,73,85,Small,273,S1361,Reynolds LLC,prodriguez@davis.org,(614) 164-2802,TM0015,15,2,Q1,2022,WH0328,PD1361,SPE0027,43,25,2393
10/1/2020 AD,19,Central Movie Storage,"2895 Justin Shoal, Lansing, Michigan 48933",Michigan (MI),TROFAST,Children's furniture,240,https://www.ikea.com/us/en/p/trofast-storage-combination-light-white-stained-pine-pine-white-s29103007/,Storage combination,30,91,44,Small,192,S1752,Kelley Group,brennanbenjamin@davies.info,(608) 186-7402,TM0016,10,1,Q1,2020,WH0363,PD1752,SPE0066,43,24,237
14/8/2023 AD,-4,North Leader Distribution Center,"75543 Turner Keys Apt. 674, Harrisburg, Pennsylvania 17101",Pennsylvania (PA),BESTÅ,Bookcases & shelving units,2635,https://www.ikea.com/us/en/p/besta-tv-storage-combination-glass-doors-black-brown-selsviken-high-gloss-black-smoked-glass-s09300650/,TV storage combination/glass doors,42,193,300,Medium,189,S0662,"Rich, Banks and Martin",ericacrawford@west.com,(503) 160-4051,TM0017,14,8,Q3,2023,WH1223,PD0662,SPE0077,23,27,2629
30/1/2021 AD,21,East Buy Depot,"1079 Justin Courts, Cheyenne, Wyoming 82001",Wyoming (WY),LAIVA,Bookcases & shelving units,24.99,https://www.ikea.com/us/en/p/laiva-bookcase-black-brown-40178591/,Bookcase,9,65,24,Big,144,S0193,Wright Ltd,scott66@roberts-marquez.com,(208) 181-5224,TM0018,30,1,Q1,2021,WH1688,PD0193,SPE0151,29,8,14.99
14/11/2020 AD,8,West Field Depot,"851 Anderson Stravenue Suite 344, Richmond, Virginia 23219",Virginia (VA),LÅNGFJÄLL,Chairs,595,https://www.ikea.com/us/en/p/langfjaell-office-chair-gunnared-light-brown-pink-white-s49252398/,Office chair,68,,68,Small,457,S1134,"Lynn, Yu and Alvarez",michaelryan@long.com,(803) 133-8553,TM0019,14,11,Q4,2020,WH0161,PD1134,SPE0091,37,29,587
1/12/2020 AD,26,South Late Distribution Center,"35425 Fischer Vista Suite 000, Dover, Delaware 19901",Delaware (DE),TROFAST,Bookcases & shelving units,79.99,https://www.ikea.com/us/en/p/trofast-frame-white-10091453/,Frame,17,37,39,Small,379,S0524,Clements PLC,chris00@jones-adams.info,(860) 124-3673,TM0020,1,12,Q4,2020,WH1709,PD0524,SPE0029,34,8,71.99
15/11/2021 AD,32,South Actually Depot,"67002 Matthew Causeway, Honolulu, Hawaii 96813",Hawaii (HI),HEMNES,Chests of drawers & drawer units,375,https://www.ikea.com/us/en/p/hemnes-chest-of-2-drawers-white-50374271/,Chest of 2 drawers,38,66,54,Medium,323,S1554,"Floyd, Wheeler and Fisher",paul80@oconnor.com,(217) 120-4888,TM0021,15,11,Q4,2021,WH0534,PD1554,SPE0001,44,12,367
1/3/2020 AD,14,West Doctor Distribution Center,"4538 Moore Lane Apt. 298, Saint Paul, Minnesota 55102",Minnesota (MN),TIMMERVIKEN,Cabinets & cupboards,22,https://www.ikea.com/us/en/p/timmerviken-door-drawer-front-black-80441556/,Door/drawer front,2,38,60,Medium,128,S0733,Andrews Inc,xramirez@burke.com,(608) 113-9781,TM0022,1,3,Q1,2020,WH1569,PD0733,SPE0042,21,7,13
29/3/2023 AD,16,North Pretty Distribution Center,"3282 Huber Spurs Suite 765, Springfield, Illinois 62701",Illinois (IL),ÄPPLARÖ,Outdoor furniture,2034,https://www.ikea.com/us/en/p/aepplaroe-3-seat-modular-sofa-outdoor-brown-stained-froesoen-duvholmen-beige-s89260075/,3-seat modular sofa,80,84,223,Big,136,S1927,"Harris, Conrad and Torres",michael28@king-chan.biz,(517) 129-3448,TM0023,29,3,Q1,2023,WH1755,PD1927,SPE0078,28,12,2029
22/8/2020 AD,14,South Hit Distribution Center,"18673 Marc Valleys Apt. 889, Honolulu, Hawaii 96813",Hawaii (HI),BOAXEL,Bookcases & shelving units,8,https://www.ikea.com/us/en/p/boaxel-shoe-shelf-white-10450399/,Shoe shelf,15,15,23,Medium,213,S0341,Bright LLC,pierceelizabeth@mcgee.com,(651) 113-1093,TM0024,22,8,Q3,2020,WH1080,PD0341,SPE0030,27,13,0
19/4/2019 AD,26,Central Ahead Depot,"42887 Travis Ford, Hartford, Connecticut 06103",Connecticut (CT),JUSTINA,Chairs,19,https://www.ikea.com/us/en/p/justina-chair-pad-grey-60175006/,Chair pad,40,,,Big,120,S1168,Cunningham LLC,autumn42@hood.com,(406) 144-4943,TM0025,19,4,Q2,2019,WH1820,PD1168,SPE0080,37,11,15
29/8/2020 AD,-1,Ridge Warehouse,"Unit 4408 Box 6902
 Little Rock, AR 72201",Arkansas (AR),ASKHOLMEN,Outdoor furniture,255,https://www.ikea.com/us/en/p/askholmen-table-outdoor-foldable-light-brown-light-brown-stained-grey-brown-stained-10337817/,Table,,73,62,Big,307,S1918,King Inc,shirleymartin@patel.com,(515) 181-6719,TM0026,29,8,Q3,2020,WH0019,PD1918,SPE0145,28,29,252
29/12/2023 AD,16,West Voice Storage,"25190 Weaver Drives Apt. 880, Santa Fe, New Mexico 87501",New Mexico (NM),EKET,Bookcases & shelving units,85,https://www.ikea.com/us/en/p/eket-wall-mounted-shelf-unit-white-s89285820/,Wall-mounted shelf unit,13,27,27,Medium,422,S0568,"Floyd, Wheeler and Fisher",paul80@oconnor.com,(217) 120-4888,TM0027,29,12,Q4,2023,WH1600,PD0568,SPE0001,37,21,77
9/4/2021 AD,20,West Boy Depot,"46035 Hunter Lake, Carson City, Nevada 89701",Nevada (NV),ÄPPLARÖ,Outdoor furniture,745,https://www.ikea.com/us/en/p/aepplaroe-drop-leaf-table-outdoor-brown-stained-brown-40208531/,Drop-leaf table,,72,78,Medium,198,S1915,"Davis, Patterson and Farley",taylor07@nelson.com,(303) 115-7540,TM0028,9,4,Q2,2021,WH0366,PD1915,SPE0105,28,8,739
31/7/2019 AD,9,South Late Distribution Center,"35425 Fischer Vista Suite 000, Dover, Delaware 19901",Delaware (DE),VEVELSTAD,Beds,279,https://www.ikea.com/us/en/p/vevelstad-bed-frame-with-3-headboards-white-tolkning-rattan-s89441830/,Bed frame with 3 headboards,51,120,140,Big,217,S0070,Wright-Williams,chamilton@holland-green.info,(502) 177-7754,TM0029,31,7,Q3,2019,WH1709,PD0070,SPE0004,38,29,271
21/11/2023 AD,16,Central Business Depot,"427 Savage Club, Hartford, Connecticut 06103",Connecticut (CT),EKEDALEN / EKEDALEN,Bar furniture,759.99,https://www.ikea.com/us/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-dark-brown-orrsta-light-grey-s69304221/,Bar table and 4 bar stools,40,120,40,Small,437,S0010,"Murphy, Smith and Mccoy",eric08@herring.org,(916) 123-6782,TM0030,21,11,Q4,2023,WH1544,PD0010,SPE0128,23,7,756.99
30/4/2019 AD,-7,North Only Storage,"6548 Mccormick Mountain Suite 946, Richmond, Virginia 23219",Virginia (VA),BRUSEN,Outdoor furniture,399,https://www.ikea.com/us/en/p/brusen-sofa-outdoor-gray-60482944/,3-seat sofa,64,75,146,Big,313,S1991,West-White,aaron02@ferguson.com,(701) 190-8366,TM0031,30,4,Q2,2019,WH0448,PD1991,SPE0068,21,28,393
25/8/2023 AD,-15,West Doctor Distribution Center,"4538 Moore Lane Apt. 298, Saint Paul, Minnesota 55102",Minnesota (MN),BROR,Bookcases & shelving units,110,https://www.ikea.com/us/en/p/bror-shelving-unit-gray-green-pine-plywood-s49516139/,Shelving unit,15,74,33,Small,204,S0389,Palmer-Wells,dawn41@mullins-garcia.com,(601) 186-8186,TM0032,25,8,Q3,2023,WH1569,PD0389,SPE0094,11,26,103
